ID	Genome name	Taxonomy	Genome size(Mb)	GC(%)	GenBank accession number	BioProject
Slu2	Staphylococcus lugdunensis HKU09-01	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.66	33.90	CP001837	PRJNA46233
Slu0	Streptococcus lutetiensis 033	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	1.98	37.70	CP003025	PRJNA213397
Slu1	Staphylococcus lugdunensis N920143	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.6	33.80	FR870271	PRJEA162143
A900	Anabaena sp. 90	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Anabaena.	5.31	38.09	CP003284,CP003285	PRJNA179383
Dku0	Desulfotomaculum kuznetsovii DSM 6115	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfotomaculum.	3.6	54.90	CP002770	PRJNA67357
SUA0	Spiribacter sp. UAH-SP71	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Spiribacter.	1.93	63.90	CP005990	PRJNA226111
Car0	Corynebacterium argentoratense DSM 44202	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.03	58.90	CP006365	PRJNA217419
Rth0	Ruminiclostridium thermocellum DSM 1313	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium.	3.56	39.10	CP002416	PRJNA161989
Rth1	Ruminiclostridium thermocellum ATCC 27405	Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminiclostridium.	3.84	39.00	CP000568	PRJNA57917
Fli0	Flexibacter litoralis DSM 6794	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cytophagaceae; Flexibacter.	4.92	30.70	CP003345	PRJNA168257
Bsa0	Bacteroides salanitronis DSM 18170	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	4.31	46.44	CP002530	PRJNA63269
HSH0	Hydrogenobaculum sp. SHO	Bacteria; Aquificae; Aquificales; Aquificaceae; Hydrogenobaculum.	1.55	34.80	CP002809	PRJNA53951
Bgl1	Burkholderia gladioli BSR3	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia.	9.05	67.41	CP002599,CP002600	PRJNA66301
Mad0	Marinobacter adhaerens HP15	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter.	4.65	56.82	CP001978	PRJNA162009
Psy0	Pseudomonas syringae pv. syringae B728a	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae.	6.09	59.20	CP000075	PRJNA57931
Psy1	Pseudomonas syringae pv. phaseolicola 1448A	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.11	57.9	CP000058	PRJNA58099
Psy2	Pseudomonas syringae pv. tomato str. DC3000	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.54	58.34	AE016853	PRJNA57967
Mpi0	Marinitoga piezophila KA3	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Marinitoga.	2.24	29.18	CP003257	PRJNA81629
She0	Staphylothermus hellenicus DSM 12710	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Staphylothermus.	1.58	36.80	CP002051	PRJNA45893
She1	Slackia heliotrinireducens DSM 20476	Bacteria; Actinobacteria; Coriobacteridae; Coriobacteriales; Coriobacterineae; Coriobacteriaceae; Slackia.	3.17	60.20	CP001684	PRJNA59051
Mfl1	Mesoplasma florum W37	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Entomoplasmataceae; Mesoplasma.	0.83	27.00	CP006778	PRJNA224253
Mfl0	Methylobacillus flagellatus KT	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylobacillus.	2.97	55.70	CP000284	PRJNA58049
Tpa1	Turneriella parva DSM 21527	Bacteria; Spirochaetes; Spirochaetales; Leptospiraceae; Turneriella.	4.41	53.6	CP002959	PRJNA168321
Tpa0	Treponema pallidum subsp. pallidum str. Nichols	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	1.14	52.80	AE000520	PRJNA57585
Aav0	Acidovorax avenae subsp. avenae ATCC 19860	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax.	5.48	68.80	CP002521	PRJNA42497
Lrh2	Lactobacillus rhamnosus ATCC 8530	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	2.96	46.80	CP003094	PRJNA162169
Lrh3	Lactobacillus rhamnosus GG GG (ATCC 53103)	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.01	46.70	FM179322	PRJNA59313
Lrh0	Lactobacillus rhamnosus LOCK900	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	2.88	46.80	CP005484	PRJNA210957
Smi0	Streptococcus mitis B6	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.15	40.00	FN568063	PRJNA46097
Lrh4	Lactobacillus rhamnosus GG ATCC 53103	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.01	46.70	AP011548	PRJDA161983
Lrh5	Lactobacillus rhamnosus Lc 705	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	3.03	46.63	FM179323	PRJNA59315
Ave0	Archaeoglobus veneficus SNP6	Archaea; Euryarchaeota; Archaeoglobi; Archaeoglobales; Archaeoglobaceae; Archaeoglobus.	1.9	47.00	CP002588	PRJNA65269
Ave1	Aeromonas veronii B565	Bacteria; Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas.	4.55	58.70	CP002607	PRJNA66323
Dac2	Desulfosporosinus acidiphilus SJ4	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfosporosinus.	4.99	42.07	CP003639	PRJNA156759
Btu0	Borrelia turicatae 91E135	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Borrelia.	0.92	29.10	CP000049	PRJNA58311
Oan0	Ochrobactrum anthropi ATCC 49188	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Ochrobactrum.	5.21	56.15	CP000758,CP000759	PRJNA58921
Bpu0	Bacillus pumilus SAFR-032	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	3.7	41.30	CP000813	PRJNA59017
RTM0	Ruegeria sp. TM1040	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Ruegeria.	4.15	60.05	CP000377	PRJNA58193
Cge0	Clostridiales genomosp. BVAB3 str. UPII9-5	Bacteria; Firmicutes; Clostridia; Clostridiales.	1.81	44.20	CP001850	PRJNA46219
Spu0	Shewanella putrefaciens CN-32	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	4.66	44.50	CP000681	PRJNA58267
Spu1	Shewanella putrefaciens 200	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	4.84	44.50	CP002457	PRJNA161927
Pae10	Pseudomonas aeruginosa PA7	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.59	66.40	CP000744	PRJNA58627
Rbi0	Robiginitalea biformata HTCC2501	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Robiginitalea.	3.53	55.30	CP001712	PRJNA58285
Pae11	Pseudomonas aeruginosa SCV20265	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas.	6.73	66.30	CP006931	PRJNA232358
Cma3	Caldivirga maquilingensis IC-167	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Caldivirga.	2.08	43.10	CP000852	PRJNA58711
Cma2	Corynebacterium maris DSM 45190	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium.	2.83	66.61	CP003924	PRJNA214081
Cma1	Cyclobacterium marinum DSM 745	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Cyclobacteriaceae; Cyclobacterium.	6.22	38.10	CP002955	PRJNA71485
Cma0	Carnobacterium maltaromaticum LMA28	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Carnobacterium.	3.65	34.50	HE999757	PRJNA179370
Ngo2	Neisseria gonorrhoeae FA 1090	Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria.	2.15	52.70	AE004969	PRJNA57611
Lfe4	Lactobacillus fermentum CECT 5716	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus.	2.1	51.50	CP002033	PRJNA162003
Afr0	Actinoplanes friuliensis DSM 7358	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micromonosporineae; Micromonosporaceae; Actinoplanes.	9.38	70.40	CP006272	PRJNA226110
Mra0	Methylobacterium radiotolerans JCM 2831	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	6.9	71.04	CP001001	PRJNA58845
Ttu0	Teredinibacter turnerae T7901	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadales genera incertae sedis; Teredinibacter.	5.19	50.90	CP001614	PRJNA59267
Bhe1	Bartonella henselae str. Houston-1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bartonellaceae; Bartonella.	1.93	38.20	BX897699	PRJNA57745
Sen42	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	4.91	52.22	CP002614	PRJNA87049
Sen41	Salmonella enterica subsp. enterica serovar Heidelberg str. B182	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	4.79	52.11	CP003416	PRJNA162195
Sen40	Salmonella enterica subsp. enterica serovar Heidelberg str. 41578	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Salmonella.	4.95	52.12	CP004086	PRJNA212970
CPo1	Candidatus Portiera aleyrodidarum BT-QVLC	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae; Zymobacter group; whitefly endosymbionts; Candidatus Portiera.	0.35	26.20	CP003835,CP003867	PRJNA176374
Hpa0	Haemophilus parasuis ZJ0906	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus.	2.32	40.10	CP005384	PRJNA209117
Mro0	Melioribacter roseus P3M-2	Bacteria; Ignavibacteriae; Ignavibacteria; Ignavibacteriales; Melioribacteraceae; Melioribacter.	3.3	41.30	CP003557	PRJNA170941
Epi0	Edwardsiella piscicida C07-087	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Edwardsiella.	3.86	59.60	CP004141	PRJNA193773
Ctr13	Chlamydia trachomatis G/9768	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.04	41.30	CP001887	PRJNA161353
Pbe0	Parvularcula bermudensis HTCC2503	Bacteria; Proteobacteria; Alphaproteobacteria; Parvularculales; Parvularculaceae; Parvularcula.	2.9	60.70	CP002156	PRJNA51641
CAz0	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Candidatus Azobacteroides.	1.22	32.99	AP010656	PRJNA59163
Sgl2	Sphaerochaeta globosa str. Buddy	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Sphaerochaeta.	3.32	48.90	CP002541	PRJNA63633
Ctr11	Chlamydia trachomatis E/Bour	Bacteria; Chlamydiae; Chlamydiales; Chlamydiaceae; Chlamydia/Chlamydophila group; Chlamydia.	1.05	41.26	HE601870	PRJNA196775
Sgl0	Syntrophobotulus glycolicus DSM 8271	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Syntrophobotulus.	3.41	46.40	CP002547	PRJNA63343
Sgl1	Sodalis glossinidius str. 'morsitans'	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Sodalis.	4.29	54.51	AP008232	PRJNA58553
Ean0	Exiguobacterium antarcticum B7 Eab7	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillales Family XII. Incertae Sedis; Exiguobacterium.	2.82	47.50	CP003063	PRJNA176125
Lme1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc.	2.08	37.66	CP000414	PRJNA57919
Hpy13	Helicobacter pylori 52	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.57	38.90	CP001680	PRJNA159983
Hpy12	Helicobacter pylori HPAG1	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.61	39.08	CP000241	PRJNA58517
Hpy11	Helicobacter pylori B38	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.58	39.20	FM991728	PRJNA59415
Hpy10	Helicobacter pylori BM012A	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.66	38.90	CP006888	PRJNA229744
Hpy17	Helicobacter pylori Aklavik117	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.64	38.73	CP003483	PRJNA182201
PT70	Pusillimonas sp. T7-7	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Pusillimonas.	3.92	56.89	CP002663	PRJNA66391
Sta0	Spiroplasma taiwanense CT-1	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma.	1.09	23.89	CP005074	PRJNA212975
Hpy14	Helicobacter pylori F32	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.58	38.9	AP011943	PRJNA161139
Hpy19	Helicobacter pylori 51	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.59	38.80	CP000012	PRJNA161925
Hpy18	Helicobacter pylori Rif2	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.67	38.90	CP003906	PRJNA178203
Ach0	Arthrobacter chlorophenolicus A6	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter.	4.98	65.98	CP001341	PRJNA58969
Ssm0	Spirochaeta smaragdinae DSM 11293	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Spirochaeta.	4.65	49.00	CP002116	PRJNA51369
T190	Thermofilum sp. 1910b	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermofilaceae; Thermofilum.	1.75	46.50	CP006646	PRJNA215374
Dno0	Dichelobacter nodosus VCS1703A	Bacteria; Proteobacteria; Gammaproteobacteria; Cardiobacteriales; Cardiobacteriaceae; Dichelobacter.	1.39	44.40	CP000513	PRJNA57643
Oni0	Oscillatoria nigro-viridis PCC 7112	Bacteria; Cyanobacteria; Oscillatoriophycideae; Oscillatoriales; Oscillatoria.	8.27	45.81	CP003614	PRJNA183110
Cno0	Clostridium novyi NT	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium.	2.55	28.90	CP000382	PRJNA58643
Bpi0	Brachyspira pilosicoli P43/6/78	Bacteria; Spirochaetes; Spirochaetales; Brachyspiraceae; Brachyspira.	2.56	27.90	CP002873	PRJNA184077
Ype8	Yersinia pestis CO92	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.83	47.61	AL590842	PRJNA57621
Rli0	Roseobacter litoralis Och 149	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter.	4.75	57.22	CP002623	PRJNA54719
Rta0	Ramlibacter tataouinensis TTB310	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Ramlibacter.	4.07	70.00	CP000245	PRJNA68279
Ype0	Yersinia pestis Angola	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.69	47.62	CP000901	PRJNA58485
Ype1	Yersinia pestis biovar Microtus str. 91001	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.8	47.72	AE017042	PRJNA58037
Ype2	Yersinia pestis Nepal516	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.65	47.65	CP000305	PRJNA58609
Spy5	Streptococcus pyogenes SSI-1	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	1.89	38.60	BA000034	PRJNA57895
Sgr0	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces.	8.55	72.20	AP009493	PRJNA58983
Ype5	Yersinia pestis Antiqua	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.88	47.7	CP000308	PRJNA58607
Ype6	Yersinia pestis A1122	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.66	47.65	CP002956	PRJNA158119
Ype7	Yersinia pestis Z176003	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Yersinia.	4.73	47.7	CP001593	PRJNA47317
Mvo0	Methanococcus voltae A3	Archaea; Euryarchaeota; Methanococci; Methanococcales; Methanococcaceae; Methanococcus.	1.94	28.60	CP002057	PRJNA49529
Pfr0	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 CIRM-B1AI	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.62	67.30	FN806773	PRJNA49535
Mgl0	Methylovorus glucosetrophus SIP3-4	Bacteria; Proteobacteria; Betaproteobacteria; Methylophilales; Methylophilaceae; Methylovorus.	3.08	54.65	CP001674	PRJNA59367
Hpy4	Helicobacter pylori UM066	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.66	38.60	CP005493	PRJNA203028
Hpy3	Helicobacter pylori Shi417	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.67	38.80	CP003472	PRJNA162205
Ndo0	Nonlabens dokdonensis DSW-6	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Nonlabens.	3.91	35.30	CP001397	PRJNA186842
Hpy2	Helicobacter pylori UM037	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.69	38.90	CP005492	PRJNA203027
Mhy8	Mycoplasma hyopneumoniae 232	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.89	28.60	AE017332	PRJNA58205
Mhy9	Mycoplasma hyorhinis GDL-1	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.84	25.90	CP003231	PRJNA87003
Hpy1	Helicobacter pylori 35A	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.57	38.90	CP002096	PRJNA49903
Mhy0	Mycoplasma hyopneumoniae 7448	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.92	28.50	AE017244	PRJNA58039
Mhy1	Mycoplasma hyopneumoniae J	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.9	28.50	AE017243	PRJNA58059
Mhy2	Mycoplasma hyorhinis HUB-1	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.84	25.90	CP002170	PRJNA51695
Mhy3	Mycoplasma hyorhinis DBS 1050	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.84	25.90	CP006849	PRJNA228933
Pmi2	Proteus mirabilis BB2000	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Proteus.	3.85	38.60	CP004022	PRJNA214430
Mhy5	Mycoplasma hyopneumoniae 7422	Bacteria; Tenericutes; Mollicutes; Mycoplasmataceae; Mycoplasma.	0.9	28.50	CP003802	PRJNA212968
